tmin,text,tmax
0,silent,0.709333
0.709333,sounding,14.533333
14.533333,silent,15.045333
15.045333,sounding,19.493333
19.493333,silent,20.026667
20.026667,sounding,23.824000
23.824000,silent,24.250667
24.250667,sounding,26.629333
26.629333,silent,26.970667
26.970667,sounding,28.474667
28.474667,silent,28.858667
28.858667,sounding,29.722667
29.722667,silent,33.082667
33.082667,sounding,33.221333
33.221333,silent,35.674667
35.674667,sounding,38.096000
38.096000,silent,38.629333
38.629333,sounding,41.392000
41.392000,silent,41.680000
41.680000,sounding,43.536000
43.536000,silent,43.781333
43.781333,sounding,46.288000
46.288000,silent,46.586667
46.586667,sounding,47.653333
47.653333,silent,48.293333
48.293333,sounding,50.266667
50.266667,silent,50.544000
50.544000,sounding,51.770667
51.770667,silent,56.186667
56.186667,sounding,58.469333
58.469333,silent,58.597333
58.597333,sounding,58.821333
58.821333,silent,59.397333
59.397333,sounding,61.552000
61.552000,silent,61.754667
61.754667,sounding,68.506667
68.506667,silent,68.901333
68.901333,sounding,70.234667
70.234667,silent,70.565333
70.565333,sounding,72.176000
72.176000,silent,72.400000
72.400000,sounding,73.989333
73.989333,silent,74.330667
74.330667,sounding,77.349333
77.349333,silent,79.824000
79.824000,sounding,80.442667
80.442667,silent,80.805333
80.805333,sounding,82.597333
82.597333,silent,84.538667
84.538667,sounding,85.114667
85.114667,silent,85.840000
85.840000,sounding,86.768000
86.768000,silent,86.928000
86.928000,sounding,88.485333
88.485333,silent,88.816000
88.816000,sounding,89.808000
89.808000,silent,90.832000
90.832000,sounding,90.885333
90.885333,silent,92.869333
92.869333,sounding,94.010667
94.010667,silent,94.330667
94.330667,sounding,95.952000
95.952000,silent,96.144000
96.144000,sounding,97.989333
97.989333,silent,98.288000
98.288000,sounding,102.224000
102.224000,silent,102.480000
102.480000,sounding,103.898667
103.898667,silent,104.101333
104.101333,sounding,105.413333
105.413333,silent,105.722667
105.722667,sounding,106.416000
106.416000,silent,106.608000
106.608000,sounding,107.632000
107.632000,silent,114.757333
114.757333,sounding,118.906667
118.906667,silent,125.061333
125.061333,sounding,126.149333
126.149333,silent,126.373333
126.373333,sounding,129.562667
129.562667,silent,130.224000
130.224000,sounding,133.008000
133.008000,silent,133.392000
133.392000,sounding,135.013333
135.013333,silent,135.226667
135.226667,sounding,136.837333
136.837333,silent,137.008000
137.008000,sounding,138.586667
138.586667,silent,138.874667
138.874667,sounding,141.114667
141.114667,silent,141.466667
141.466667,sounding,142.938667
142.938667,silent,143.184000
143.184000,sounding,145.178667
145.178667,silent,145.434667
145.434667,sounding,146.416000
146.416000,silent,146.650667
146.650667,sounding,147.589333
147.589333,silent,147.824000
147.824000,sounding,147.962667
147.962667,silent,149.008000
149.008000,sounding,149.136000
149.136000,silent,151.610667
151.610667,sounding,153.104000
153.104000,silent,153.221333
153.221333,sounding,153.829333
153.829333,silent,154.085333
154.085333,sounding,156.528000
156.528000,silent,156.826667
156.826667,sounding,158.768000
158.768000,silent,159.034667
159.034667,sounding,160.506667
160.506667,silent,165.616000
165.616000,sounding,166.832000
166.832000,silent,167.066667
167.066667,sounding,168.250667
168.250667,silent,168.474667
168.474667,sounding,170.373333
170.373333,silent,170.736000
170.736000,sounding,181.882667
181.882667,silent,182.224000
182.224000,sounding,184.965333
184.965333,silent,185.306667
185.306667,sounding,187.216000
187.216000,silent,187.610667
187.610667,sounding,189.264000
189.264000,silent,190.384000
190.384000,sounding,190.629333
190.629333,silent,194.053333
194.053333,sounding,196.666667
196.666667,silent,197.210667
197.210667,sounding,199.525333
199.525333,silent,199.866667
199.866667,sounding,201.402667
201.402667,silent,201.797333
201.797333,sounding,203.141333
203.141333,silent,203.397333
203.397333,sounding,204.826667
204.826667,silent,205.285333
205.285333,sounding,207.845333
207.845333,silent,207.973333
207.973333,sounding,208.026667
208.026667,silent,212.549333
212.549333,sounding,214.245333
214.245333,silent,214.554667
214.554667,sounding,216.272000
216.272000,silent,216.538667
216.538667,sounding,218.618667
218.618667,silent,222.309333
222.309333,sounding,222.853333
222.853333,silent,223.578667
223.578667,sounding,227.930667
227.930667,silent,228.304000
228.304000,sounding,229.157333
229.157333,silent,229.456000
229.456000,sounding,230.778667
230.778667,silent,231.120000
231.120000,sounding,234.224000
234.224000,silent,235.269333
235.269333,sounding,253.114667
253.114667,silent,254.490703
